OBJECTID,id,d,e,datum,den,rok,mesic,zavineni,viditelnost,cas,hodina,mesic_t,doba,den_v_tydnu,alkohol,alkohol_vinik,hlavni_pricina,srazka,pricina,stav_vozovky,povetrnostni_podm,rozhled,misto_nehody,druh_komun,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,smrt,tz,lz,smrt_dny,smrt_po,vek_skupina,chodec_pohlavi,kategorie_chodce,stav_chodce,chovani_chodce,situace_nehody,prvni_pomoc,nasledky_chodce,nazev,POINT_X,POINT_Y,GlobalID,x,y
1465,60206160764,-596300.97,-1158139.505,5/6/2016 12:00:00 AM,5,2016,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",840,8,květen,den,pátek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,1,0,18000,0,1,0,1,,16-18,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,těžké zranění,Brno-sever,16.6295408660001,49.2202722980001,6774ed16-8d20-46c4-93b6-b14e0285238f,618659.920036402,5453220.77670493
1466,60206160774,-598140.297,-1160354.395,5/7/2016 12:00:00 AM,6,2016,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1652,16,květen,den,sobota,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,2,50000,0,0,1,1,,33-44,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-střed,16.607704686,49.19869427,01c2d000-cb34-41b4-9086-3fdc063a79f1,617120.885377188,5450788.07726558
1467,60206160774,-598140.297,-1160354.395,5/7/2016 12:00:00 AM,6,2016,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1652,16,květen,den,sobota,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,2,50000,0,0,1,1,,45-60,žena,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-střed,16.607704686,49.19869427,011a00b0-5025-46f8-8ac0-1212301fe114,617120.885377188,5450788.07726558
1468,60206160783,-598702.257,-1160001.904,5/9/2016 12:00:00 AM,1,2016,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",715,7,květen,den,pondělí,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,10000,0,0,1,1,,33-44,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-střed,16.599517518,49.201302194,3afc31bf-6724-42e7-992f-49ddbdc0178c,616518.346644901,5451065.34229231
1469,60206160796,-598863.021,-1157098.636,5/10/2016 12:00:00 AM,2,2016,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1209,12,květen,den,úterý,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem",komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,24-32,muž,muž,"nepozornost, roztržitost",náhlé vstoupení do vozovky z nástupního nebo dělícího ostrůvku,přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-Královo Pole,16.593033678,49.227102648,fca9b5af-b000-4a14-a59a-baa307dd225d,615985.649666587,5453923.43822425
1470,60206160820,-596373.032,-1161835.965,5/12/2016 12:00:00 AM,4,2016,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1355,13,květen,den,čtvrtek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,12-15,chlapec (do 15 let),dítě (do 15 let),"nepozornost, roztržitost",špatný odhad vzdálenosti a rychlosti vozidla,přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-Černovice,16.633994687,49.187153664,f1c87e09-b541-491a-88d4-c7804684687d,619063.730667541,5449546.21787511
1471,60206160841,-594995.016,-1157573.716,5/13/2016 12:00:00 AM,5,2016,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1917,19,květen,den,pátek,"Ano, obsah alkoholu v krvi od 0,5‰ do 0,8‰",ano,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,3,43000,0,0,1,1,,24-32,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-Maloměřice a Obřany,16.646535677,49.2265886260001,2e8e565e-5818-4e1a-a4d9-e5e86b7fa615,619882.114822709,5453949.7147725
1472,60206160841,-594995.016,-1157573.716,5/13/2016 12:00:00 AM,5,2016,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1917,19,květen,den,pátek,"Ano, obsah alkoholu v krvi od 0,5‰ do 0,8‰",ano,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,3,43000,0,0,1,1,,33-44,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,,lehké zranění,Brno-Maloměřice a Obřany,16.646535677,49.2265886260001,a83bc9fa-ee8c-4c21-91f9-19c392d9fab7,619882.114822709,5453949.7147725
1473,60206160841,-594995.016,-1157573.716,5/13/2016 12:00:00 AM,5,2016,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1917,19,květen,den,pátek,"Ano, obsah alkoholu v krvi od 0,5‰ do 0,8‰",ano,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,3,43000,0,0,1,1,,24-32,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,,lehké zranění,Brno-Maloměřice a Obřany,16.646535677,49.2265886260001,7ce7255d-3e50-40cc-a6cb-1a69562d7edd,619882.114822709,5453949.7147725
1474,60206160847,-599718.88,-1161752.303,5/16/2016 12:00:00 AM,1,2016,5,řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",620,6,květen,den,pondělí,Nezjišťován,nezjišťováno,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,0,0,1,0,0,0,1,1,,61-70,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",jiná situace,jinou osobou,lehké zranění,Brno-střed,16.588235721,49.184668731,4ee785f4-cdec-41bf-9c54-0af72a74c3f8,615735.349775995,5449199.00923888
1475,60206160875,-600007.697,-1160624.669,5/19/2016 12:00:00 AM,4,2016,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1451,14,květen,den,čtvrtek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,1,0,5000,0,1,0,1,,7-11,dívka (do 15 let),dítě (do 15 let),"nepozornost, roztržitost","náhlé vstoupení do vozovky z chodníku, krajnice",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,těžké zranění,Brno-střed,16.582628684,49.194470048,05438ce0-b318-4643-8962-09186e2b7f04,615303.993563569,5450279.99245841
1476,60206160896,-590548.912,-1159825.766,5/22/2016 12:00:00 AM,7,2016,5,řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1700,17,květen,den,neděle,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",ano,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,0,1,0,0,0,1,0,1,,61-70,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",chůze po nesprávné straně,vozidlem RZP,těžké zranění,Brno-Líšeň,16.710518676,49.2107128690001,a0f27f4a-dac8-43f1-badf-09a08d73081f,624580.341471309,5452288.30732289
1477,60206160932,-599763.388,-1153295.959,5/27/2016 12:00:00 AM,5,2016,5,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1120,11,květen,den,pátek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,33-44,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-Ivanovice,16.575108685,49.2602260940001,6f72b4ff-3c7b-45e9-8f48-80ecb65a35ed,614603.918025491,5457578.23578505
1478,60206160943,-594554.701,-1161596.193,5/29/2016 12:00:00 AM,7,2016,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1826,18,květen,den,neděle,Nezjišťován,nezjišťováno,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,0,0,0,0,1,,,chlapec (do 15 let),dítě (do 15 let),nezjištěno,žádné z uvedených,jiná situace,nebylo třeba poskytnout,bez zranění,Brno-Židenice,16.658446676,49.1910468680001,6895ce69-332f-4f7a-9857-673bbb511161,620835.910015832,5450017.74921179
1479,60206160947,-599307.225,-1155711.871,5/30/2016 12:00:00 AM,1,2016,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",829,8,květen,den,pondělí,Nezjišťován,nezjišťováno,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,0,1,,,žena,žena,nezjištěno,žádné z uvedených,jiná situace,nebylo třeba poskytnout,bez zranění,Brno-Řečkovice a Mokrá Hora,16.5849176780001,49.239070197,81b936ef-3e10-4248-89bd-528974327129,615366.883048196,5455241.38027958
1480,60206160957,-603282.902,-1157352.612,5/30/2016 12:00:00 AM,1,2016,5,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1925,19,květen,den,pondělí,Nezjišťován,nezjišťováno,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,0,0,1,0,0,0,1,1,,0-6,chlapec (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-Bystrc,16.533083682,49.220536344,df953c2c-8048-4054-8536-64d4fc1ff2ee,611635.757255988,5453103.30769109
1481,60206160972,-598307.506,-1160469.76,6/2/2016 12:00:00 AM,4,2016,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1410,14,červen,den,čtvrtek,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",uzel (křižovatka sledovaná ve vybraných městech),0,0,1,0,0,0,1,1,,19-24,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,náraz do vozidla z boku,jiná situace,vozidlem RZP,lehké zranění,Brno-střed,16.605593689,49.1975012010001,8ea32c67-039b-4cdf-b2f7-0f333b1704e5,616969.919670897,5450652.18732375
1482,60206160981,-605167.844,-1155441.205,6/4/2016 12:00:00 AM,6,2016,6,chodcem,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",2310,23,červen,noc,sobota,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),0,0,1,20000,0,0,1,1,,19-24,muž,muž,jiný neuvedený stav,"náhlé vstoupení do vozovky z chodníku, krajnice",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-Bystrc,16.504503689,49.2357810500001,dd27e450-e21a-454c-a720-a732987c9e82,609520.987995117,5454756.18919695
1483,60206160994,-592811.908,-1163595.827,6/7/2016 12:00:00 AM,2,2016,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",733,7,červen,den,úterý,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,10000,0,0,1,1,,7-11,chlapec (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-Slatina,16.685143687,49.174838998,cc4d3429-103c-4a1e-93df-fcea63bf239f,622821.112224748,5448259.02168022
1484,60206161000,-602702.303,-1160622.606,6/8/2016 12:00:00 AM,3,2016,6,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",8,8,červen,den,středa,Nezjišťován,nezjišťováno,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,19-24,muž,muž,"pod vlivem alkoholu, obsah alkoholu v krvi 1 ‰ a více",špatný odhad vzdálenosti a rychlosti vozidla,přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-Kohoutovice,16.5458696860001,49.1918699080001,9c52c2d1-53d5-4779-a5a1-f8ed3157adc1,612631.879543803,5449935.59708816
1485,60206161004,-602379.229,-1158374.939,6/8/2016 12:00:00 AM,3,2016,6,řidičem nemotorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1710,17,červen,den,středa,Nezjišťován,nezjišťováno,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,0,0,1,0,0,0,1,1,,12-15,dívka (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-Jundrov,16.5469366900001,49.2122779490001,d713267f-342f-4bd0-ad3f-ea2de9d4d9e6,612663.239190532,5452205.81047265
1486,60206161018,-597999.255,-1161179.648,6/10/2016 12:00:00 AM,5,2016,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1840,18,červen,den,pátek,Nezjišťován,nezjišťováno,nesprávný způsob jízdy,srážka s pevnou překážkou,samovolné rozjetí nezajištěného vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,0,100000,0,0,0,1,,,,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,,,Brno-střed,16.6108457710001,49.1914524160001,3496c692-25de-4ef2-92a3-56251a0038ed,617366.840145647,5449987.91977069
1487,60206161041,-592385.543,-1159923.553,6/14/2016 12:00:00 AM,2,2016,6,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1620,16,červen,den,úterý,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,parkoviště přiléhající ke komunikaci,komunikace místní,0,0,1,0,0,0,1,1,,0-6,chlapec (do 15 let),dítě (do 15 let),"nepozornost, roztržitost","náhlé vstoupení do vozovky z chodníku, krajnice",přecházení těsně před nebo za vozidlem parkujícím,vozidlem RZP,lehké zranění,Brno-Líšeň,16.685595678,49.2080827390001,b218d870-22bd-4a2b-a7cb-e4f6d60fedf7,622771.742670349,5451955.19570582
1488,60206161047,-596702.46,-1159628.146,6/15/2016 12:00:00 AM,3,2016,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",730,7,červen,den,středa,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,nesprávné otáčení nebo couvání,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,0,0,1,0,0,0,1,1,,7-11,chlapec (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-sever,16.626252676,49.206575662,41174067-55e4-45c0-8445-78aa3b97e321,618453.219295417,5451693.06676732
1489,60206161058,-595820.528,-1161761.482,6/16/2016 12:00:00 AM,4,2016,6,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",545,5,červen,noc,čtvrtek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,1,1,8000,0,1,0,1,,71 a více,žena,žena,"nepozornost, roztržitost",špatný odhad vzdálenosti a rychlosti vozidla,přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,těžké zranění,Brno-Černovice,16.641421682,49.1883517250001,ac4656e2-a411-4055-a321-aedeac723560,619602.001136732,5449691.10733622
1490,60206161061,-595630.666,-1167667.484,6/16/2016 12:00:00 AM,4,2016,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1000,10,červen,den,čtvrtek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,při otáčení nebo couvání,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,0,0,0,100,0,0,0,1,,71 a více,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",chůze po správné straně,nebylo třeba poskytnout,bez zranění,Brno-Chrlice,16.652673684,49.1357287060001,41135526-faa5-472e-a8cd-5aac7bdb43c0,620549.535377164,5443859.28315467
1491,60206161065,-599816.202,-1154112.299,6/17/2016 12:00:00 AM,5,2016,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1155,11,červen,den,pátek,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,nesprávné otáčení nebo couvání,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),0,1,0,1000,0,1,0,1,,71 a více,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,těžké zranění,Brno-Řečkovice a Mokrá Hora,16.5755976890001,49.252876789,4aae1ca8-c7fd-4dcf-9f02-0e00485c1a2a,614656.522064307,5456761.99872313
1492,60206161094,-597599.451,-1160704.879,6/21/2016 12:00:00 AM,2,2016,6,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1450,14,červen,den,úterý,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,1000,0,0,1,1,,61-70,muž,muž,"nepozornost, roztržitost","náhlé vstoupení do vozovky z chodníku, krajnice",vstup chodce na signál STŮJ,vozidlem RZP,lehké zranění,Brno-střed,16.6155999910001,49.196083318,2be0d21e-86b4-47ec-b4e7-d6fe5c681038,617702.231018874,5450510.08666262
1493,60206161102,-595867.433,-1158902.959,6/22/2016 12:00:00 AM,3,2016,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",707,7,červen,den,středa,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,2,5000,0,0,1,1,,45-60,žena,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-sever,16.636581075,49.2138642150001,705be2f5-bbc9-430d-ab9d-1c3c68d40524,619187.964572903,5452519.50295399
1494,60206161102,-595867.433,-1158902.959,6/22/2016 12:00:00 AM,3,2016,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",707,7,červen,den,středa,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,2,5000,0,0,1,1,,45-60,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-sever,16.636581075,49.2138642150001,c10d2eee-4569-438d-913e-cc1bacc8718c,619187.964572903,5452519.50295399
1495,60206161124,-597820.487,-1161171.732,6/24/2016 12:00:00 AM,5,2016,6,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1855,18,červen,den,pátek,"Ano, obsah alkoholu v krvi 1,5‰ a více",ano,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),0,1,0,0,0,1,0,1,,61-70,žena,žena,"pod vlivem alkoholu, obsah alkoholu v krvi 1 ‰ a více","náhlé vstoupení do vozovky z chodníku, krajnice",jiná situace,vozidlem RZP,těžké zranění,Brno-střed,16.6132726870001,49.191695903,e6b54382-fe98-4785-879f-b6739ef1fb6a,617543.082417479,5450018.75293294
1496,60206161135,-597304.235,-1160508.819,6/26/2016 12:00:00 AM,7,2016,6,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1735,17,červen,den,neděle,Nezjišťován,nezjišťováno,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem",komunikace sledovaná (ve vybraných městech),0,1,0,0,0,1,0,1,,0-6,dívka (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,náhlé vstoupení do vozovky z nástupního nebo dělícího ostrůvku,přecházení těsně před nebo za vozidlem stojícím v zastávce,vozidlem RZP,těžké zranění,Brno-střed,16.6193386800001,49.198121239,163a0f27-4aed-47e3-967c-93e0e99c8df3,617969.749491996,5450742.44903069
1497,60206161146,-593322.463,-1159669.359,6/28/2016 12:00:00 AM,2,2016,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1540,15,červen,den,úterý,"Ano, obsah alkoholu v krvi do 0,24 ‰",ano,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,1,0,20000,0,1,0,1,,24-32,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,špatný odhad vzdálenosti a rychlosti vozidla,přecházení po vyznačeném přechodu,vozidlem RZP,těžké zranění,Brno-Líšeň,16.672437675,49.209457806,295ea620-44d2-41cd-baaf-bdc3cfeeda58,621810.029510582,5452086.78378901
1498,60206161169,-599063.457,-1162662.483,7/1/2016 12:00:00 AM,5,2016,7,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1120,11,červenec,den,pátek,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,nesprávné otáčení nebo couvání,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,0,0,1,0,0,0,1,1,,71 a více,muž,muž,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰,","správné, přiměřené",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-střed,16.5985186840001,49.17716612,f67ca709-755d-4f81-8eeb-92e4c3cbdf62,616502.258798937,5448380.77462534
1499,60206161170,-597098.2,-1159905.302,7/1/2016 12:00:00 AM,5,2016,7,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1243,12,červenec,den,pátek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,0,1000,0,0,0,1,,71 a více,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,špatný odhad vzdálenosti a rychlosti vozidla,přecházení mimo přechod (2O a více metrů od přechodu),nebylo třeba poskytnout,bez zranění,Brno-sever,16.621260873,49.203715914,877119f9-c690-42b5-924f-a681a892645b,618096.451555013,5451367.36648297
1500,60206161174,-601346.815,-1162483.866,7/1/2016 12:00:00 AM,5,2016,7,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1700,17,červenec,den,pátek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,0,100,0,0,0,1,,61-70,žena,žena,nezjištěno,"správné, přiměřené",přecházení po vyznačeném přechodu,nebylo třeba poskytnout,bez zranění,Brno-Bohunice,16.567117653,49.1765490600001,96f4bb90-6fb1-4aca-8bcb-a438c10388db,614215.211377487,5448264.32774998
1501,60206161220,-600248.793,-1162779.359,7/11/2016 12:00:00 AM,1,2016,7,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1510,15,červenec,den,pondělí,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,0,15000,0,0,0,1,,71 a více,muž,muž,invalida,žádné z uvedených,přecházení po vyznačeném přechodu,nebylo třeba poskytnout,bez zranění,Brno-Bohunice,16.582527686,49.174973003,a71ad140-e086-4f86-b092-fe7f75233ff0,615341.952455232,5448112.49439051
