OBJECTID,id,d,e,datum,den,rok,mesic,zavineni,viditelnost,cas,hodina,mesic_t,doba,den_v_tydnu,alkohol,alkohol_vinik,hlavni_pricina,srazka,pricina,stav_vozovky,povetrnostni_podm,rozhled,misto_nehody,druh_komun,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,smrt,tz,lz,smrt_dny,smrt_po,vek_skupina,chodec_pohlavi,kategorie_chodce,stav_chodce,chovani_chodce,situace_nehody,prvni_pomoc,nasledky_chodce,nazev,POINT_X,POINT_Y,GlobalID,x,y
21,60206100131,-594265.351,-1160532.728,1/27/2010 12:00:00 AM,3,2010,1,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",818,8,leden,den,středa,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,1,0,10000,0,1,0,1,,24-32,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",jiná situace,vozidlem RZP,těžké zranění,Brno-Vinohrady,16.6608356850001,49.200833372,2aa947c4-b5df-4996-8ea3-be8fb6995d6c,620986.091412474,5451109.45646833
22,60206100137,-597407.833,-1161191.796,1/27/2010 12:00:00 AM,3,2010,1,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1426,14,leden,den,středa,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,1,10000,0,0,1,1,,19-24,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-střed,16.6189313460001,49.191915002,5dc47db2-16f2-43a9-b6ca-9c911958c85e,617954.835543573,5450051.91266727
23,60206100160,-598198.283,-1159315.126,2/1/2010 12:00:00 AM,1,2010,2,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1245,12,únor,den,pondělí,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,45-60,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,náraz do vozidla z boku,"chůze, stání na chodníku",vozidlem RZP,lehké zranění,Brno-Královo Pole,16.605380145,49.2079297340001,48456fe7-fe8d-45b7-bb80-4bef475e631b,616929.767341921,5451811.12265528
24,60206100168,-599253.023,-1162413.992,2/2/2010 12:00:00 AM,2,2010,2,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",658,6,únor,den,úterý,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,0,0,0,1,1,,24-32,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,špatný odhad vzdálenosti a rychlosti vozidla,přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-střed,16.595566687,49.179204235,fbfec346-2f58-4c8d-8c37-f59430602072,616282.34543988,5448602.7974814
25,60206100170,-598117.919,-1160201.037,2/2/2010 12:00:00 AM,2,2010,2,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",935,9,únor,den,úterý,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,0,0,0,1,1,,71 a více,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",vstup chodce na signál STŮJ,vozidlem RZP,lehké zranění,Brno-střed,16.607783774,49.2000869930001,ed7fbc16-d6e2-4bce-a6d0-7eec66d51f6d,617123.357178455,5450943.01861543
26,60206100183,-599492.121,-1157652.771,2/4/2010 12:00:00 AM,4,2010,2,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1012,10,únor,den,čtvrtek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,5000,0,0,1,1,,19-24,žena,žena,"nepozornost, roztržitost","náhlé vstoupení do vozovky z chodníku, krajnice",vstup chodce na signál STŮJ,vozidlem RZP,lehké zranění,Brno-Královo Pole,16.585266371,49.221539078,ed2e5b8e-e850-4208-9be6-c3de9f522432,615433.11003395,5453293.09180015
27,60206100200,-597069.409,-1163902.85,2/6/2010 12:00:00 AM,6,2010,2,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1905,19,únor,den,sobota,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,1,0,21000,0,1,0,1,,45-60,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",vstup chodce do vozovky v blízkosti přechodu (cca do 2O m),vozidlem RZP,těžké zranění,Brno-jih,16.6275367220001,49.1680028280001,35701f97-f1c5-49d3-8490-1413769edccf,618638.952460364,5447407.2292376
28,60206100204,-597679.513,-1161185.366,2/7/2010 12:00:00 AM,7,2010,2,chodcem,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1940,19,únor,den,neděle,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,20000,0,0,1,1,,45-60,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,náraz do vozidla z boku,vstup chodce na signál STŮJ,vozidlem RZP,lehké zranění,Brno-střed,16.6152158260001,49.1917101710001,42949268-6653-4eaa-8971-8127bd84dba0,617684.62028622,5450023.35879358
29,60206100205,-598701.23,-1156909.836,2/8/2010 12:00:00 AM,1,2010,2,chodcem,"ve dne, zhoršená viditelnost vlivem povětrnostních podmínek (mlha, sněžení, déšť apod.)",710,7,únor,den,pondělí,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,sněžení,dobré,"zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem",komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,45-60,muž,muž,nezjištěno,náraz do vozidla z boku,jiná situace,vozidlem RZP,lehké zranění,Brno-Královo Pole,16.5949631180001,49.228947223,2baae00e-2f36-4e94-924e-8553d1fb9738,616121.799209335,5454131.44775602
30,60206100209,-602447.645,-1162233.117,2/8/2010 12:00:00 AM,1,2010,2,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1217,12,únor,den,pondělí,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,61-70,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",jiná situace,vozidlem RZP,lehké zranění,Brno-Nový Lískovec,16.5517347790001,49.1777203230001,9e267233-7da4-4f92-b8f8-8837c00f4a52,613091.442111447,5448371.43278308
31,60206100215,-601663.602,-1162255.325,2/9/2010 12:00:00 AM,2,2010,2,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",715,7,únor,den,úterý,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,0,0,0,1,1,,16-18,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,žádné z uvedených,přecházení po vyznačeném přechodu,,lehké zranění,Brno-Nový Lískovec,16.56245913,49.1782843730001,c2494133-71a1-4603-b036-70768defd288,613871.717681149,5448450.211507
32,60206100245,-598221.51,-1159532.606,2/15/2010 12:00:00 AM,1,2010,2,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1600,16,únor,den,pondělí,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,0,0,0,1,1,,7-11,dívka (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",vstup chodce na signál VOLNO,vozidlem RZP,lehké zranění,Brno-střed,16.605384155,49.2059629130001,850bb288-e1f7-4a34-9485-0646dc9f399d,616934.69850352,5451592.49128841
